company,country,status,status_reason,score,provisional,score_breakdown,last_round_date,round_type,amount_eur_m,first_seen,last_news,news_url,employees_now,employees_4w_ago,key_jobs,investor_quality,expansion,weak_signals,notes
Ema Health,Italy,watchlist,punteggio provvisorio,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-06-11,,3.0,2026-06-11,2026-06-11,https://bebeez.it/venture-capital/ema-health-raccoglie-3-mln-euro-per-la-piattaforma-rosso-nel-round-360-capital-cdp-venture-capital-angelini-investments-e-fintech-partners/,,,,,,,
THEKER,Spain,watchlist,punteggio provvisorio,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-06-11,serie a,74.0,2026-06-11,2026-06-11,https://news.google.com/rss/articles/CBMihwJBVV95cUxQQmFxYXJlbkNJOXJXdXh1VVgxQ1hjY2JqSXo4eFNOLXZUUUpmNFU5MDlSczdQb0M4QXVZYUJBUmxWNklwOEJFRTJKSlppcGZrcWFMdXdGMHFxLVFTODVpUTJWVVkyUG94U2pUSnk3MUhiMjluX0JFS3VlMmVKZ1pUaW5oc0FMdUhJanlTVm9NNjhMcUdLbkdxbnJGRTF6UjFDaHZLVEE5LVpRd3R1VkVVX292aWstT2RSbWUySEpPYnVQeHBzUHd4T0wxZWJIX2laaU5hTjQ4WktPOEo1TkdIRHM3Q3FRT0w0ekI4SUVQRnRmck9YQm1iSExyUUhkV21SNDEwOWlDQdIBjAJBVV95cUxPZUM4dHFXbUdYNDZmaFl0bUVUM25IcGVWcmhwU2JDUmVQdkpyLVp2b1Y1SldqNHpjcGdtYklpY3pNa3Q5dHVRN0prMThaRll2a2V5QmNYMWZEU0xtd18zM1AzZzE5SnZEYXVfc3pZNi0wem42SFhnRjV4OUVOcXJIVkxZWDM5RURHZGdFZXJYWEwtMXdxdVkteVVSa0FMZURrRG8xMFpYRE5lZUlmS3A2aHh5RGtFUmxhY2FRbG5kVFF2LWI1ZWFrTGhTNW55TTFfZ0c4VEhRY3pjZ194R0czU25md3JnNHZWRUppVVFnVmp3OXA2ZExZekRnb0JTNU92V25aVEtoWmQxTWVz?oc=5,,,,,,,
CardNexus,France,watchlist,punteggio provvisorio,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-06-11,,3.5,2026-06-11,2026-06-11,https://www.eu-startups.com/2026/06/french-trading-card-game-platform-cardnexus-raises-e3-5-million-to-support-team-expansion/,,,,,,,
OurMind,Netherlands,watchlist,punteggio provvisorio,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-06-11,,2.1,2026-06-11,2026-06-11,https://www.eu-startups.com/2026/06/amsterdams-ourmind-raises-e2-1-million-to-reduce-healthcare-admin-burden-with-ai/,,,,,,,
CameraMatics,Spain?,watchlist,paese da confermare in sessione,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-06-11,,49.0,2026-06-11,2026-06-11,https://news.google.com/rss/articles/CBMioAFBVV95cUxNU2VPWThaazM3Rml1NXBZaFFEbERBVlRyWWo1M0RhUVpfU2JuekZmY01HY3h2TUdSSVdTendqc214T2xyMENjSTRvc0FJUzhMdVktRDgyOEtFZkVNcWhWTkY5NXQ2VkZpZ001b3dLeXZJZW5aVHZ3bnJSbElUdlg3WVphdzd5VmRjNGpRcko2OG42ZW41enFTZzhxNmszVmhP?oc=5,,,,,,,
Naratix,Other Europe,watchlist,punteggio provvisorio,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-06-10,,1.0,2026-06-10,2026-06-10,https://www.eu-startups.com/2026/06/romanian-ecommerce-startup-naratix-raises-e1-million-to-accelerate-growth/,,,,,,,
Polish FinTech,Poland,review,estrazione incerta: verificare nome/paese in sessione,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-06-10,,2.12,2026-06-10,2026-06-10,https://www.eu-startups.com/2026/06/polish-fintech-paymove-secures-e2-12-million-to-drive-european-expansion/,,,,,,,
Uncovr,France,watchlist,punteggio provvisorio,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-06-10,,6.0,2026-06-10,2026-06-10,https://www.eu-startups.com/2026/06/french-surgical-ai-startup-uncovr-raises-e6-million-to-turn-surgical-video-into-clinical-records/,,,,,,,
Cosmico,Italy,watchlist,punteggio provvisorio,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-05-19,,12.0,2026-05-19,2026-05-19,https://bebeez.it/venture-capital/cosmico-raccoglie-12-mln-euro-con-p101-e-sale-al-100-di-flatmates/,,,,,,,
Cato AI,Italy,watchlist,punteggio provvisorio,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-04-15,,1.6,2026-04-15,2026-04-15,https://bebeez.it/venture-capital/cato-ai-raccoglie-16-mln-euro-per-portare-lintelligenza-artificiale-nelle-gare-dappalto/,,,,,,,
CareGlance,Italy,watchlist,punteggio provvisorio,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-04-13,,3.5,2026-04-13,2026-04-13,https://bebeez.it/venture-capital/careglance-raccoglie-35-mln-euro-per-i-sensori-3d-che-danno-gli-occhi-allai-industriale/,,,,,,,
POP Wash,Italy,watchlist,punteggio provvisorio,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-03-30,,30.0,2026-03-30,2026-03-30,https://bebeez.it/venture-capital/il-polo-di-aggregazione-di-autolavaggi-pop-wash-incassa-round-da-30-mln-euro/,,,,,,,
Foreverland,Italy,watchlist,punteggio provvisorio,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-03-27,,,2026-03-27,2026-03-27,https://bebeez.it/venture-capital/la-foodtech-foreverland-chiude-un-round-da-6-milioni-portando-il-totale-dei-capitali-raccolti-a-94-milioni/,,,,,,,
L’italiana Subbyx,Italy,review,estrazione incerta: verificare nome/paese in sessione,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-03-26,,50.0,2026-03-26,2026-03-26,https://bebeez.it/venture-capital/litaliana-subbyx-startup-degli-abbonamenti-a-prodotti-tech-chiude-un-round-da-30-mln-e-porta-la-raccolta-complessiva-a-50-mln/,,,,,,,
UpSurgeOn,Italy,watchlist,punteggio provvisorio,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-03-21,,5.0,2026-03-21,2026-03-21,https://bebeez.it/venture-capital/upsurgeon-raccoglie-5-mln-euro-da-cdp-venture-capital-e-investitori-per-scalare-la-chirurgia-del-futuro/,,,,,,,
CiaoDott,Italy,watchlist,punteggio provvisorio,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-03-18,,1.5,2026-03-18,2026-03-18,https://bebeez.it/venture-capital/la-medtech-ciaodott-incassa-round-da-15-mln-euro/,,,,,,,
Hint,Italy,review,estrazione incerta: verificare nome/paese in sessione,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-03-17,pre-seed,0.5,2026-03-17,2026-03-17,https://bebeez.it/venture-capital/hint-ex-mr-franz-chiude-un-pre-seed-da-500k-euro-e-si-prepara-al-lancio-dellapp/,,,,,,,
Mirai Robotics,Italy,watchlist,punteggio provvisorio,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-03-11,,3.5,2026-03-11,2026-03-11,https://bebeez.it/venture-capital/la-startup-dellai-per-le-attivita-in-mare-mirai-robotics-incassa-round-da-35-mln-euro/,,,,,,,
Fluid Wire Robotics,Italy,watchlist,punteggio provvisorio,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-03-03,,2.5,2026-03-03,2026-03-03,https://bebeez.it/venture-capital/adaptronics-e-fluid-wire-robotics-incassano-grant-da-25-mln-euro-ciascuna-dalleic-accelerator-delleuropean-innovation-council/,,,,,,,
Flowy,Italy,review,estrazione incerta: verificare nome/paese in sessione,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-03-03,,,2026-03-03,2026-03-03,https://bebeez.it/venture-capital/flowy-startup-per-mobilita-pubblica-incassa-round-da-un-mln-euro-lo-sottoscrive-crossconnect/,,,,,,,
Techvisory,Italy,review,estrazione incerta: verificare nome/paese in sessione,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-03-02,,2.5,2026-03-02,2026-03-02,https://bebeez.it/venture-capital/techvisory-startup-ai-fondata-da-franco-bernabe-incassa-round-da-25-mln-euro-da-investitori-istituzionali/,,,,,,,
Xference,Italy,review,estrazione incerta: verificare nome/paese in sessione,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-02-20,pre-seed,0.7,2026-02-20,2026-02-20,https://bebeez.it/venture-capital/xference-specializzato-in-infrastrutture-di-ai-privata-incassa-round-pre-seed-da-700k-euro-e-apre-il-seed/,,,,,,,
Nando,Italy,review,estrazione incerta: verificare nome/paese in sessione,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-02-18,,3.3,2026-02-18,2026-02-18,https://bebeez.it/venture-capital/nando-specialista-ai-nella-gestione-dei-rifiuti-incassa-nuovo-round-da-3-mln-euro/,,,,,,,
DeepTree,Italy,watchlist,punteggio provvisorio,2,yes,headcount:0;clock:2;jobs:0;investors:0;expansion:0;stage:0;weak:0,2026-05-28,,,2026-05-28,2026-05-28,https://news.google.com/rss/articles/CBMif0FVX3lxTE1sRlNJanYzcUx2c3gwRDg3MlBsb3c5dWY5VksyZThQXzVoUnUteHN1WU1aMUJVVWtSYlVOZkdCOFBLQVZ3eVpVejB3Zmo4d05FdlAtVF9JUFRuTlFtbDVMajEyZkFsbVYtNFYyZDByamZLRmlldHJQZnh6Zmlud0E?oc=5,,,,,,,
